,0
3356.93359375,5.896999758502802e-09
3369.140625,6.2274823327517705e-09
3381.34765625,6.805183899073635e-09
3393.5546875,6.962297509615036e-09
3405.76171875,7.206184826710254e-09
3417.96875,7.4023568510025035e-09
3430.17578125,7.741220443973008e-09
3442.3828125,8.04905190615329e-09
3454.58984375,8.477574681308716e-09
3466.796875,8.439574431481812e-09
3479.00390625,9.046216986057517e-09
3491.2109375,9.208051034415313e-09
3503.41796875,9.239090683048275e-09
3515.625,9.287993555071966e-09
3527.83203125,1.0221779871112878e-08
3540.0390625,1.0997551071924639e-08
3552.24609375,1.0787060368790825e-08
3564.453125,1.094410942784417e-08
3576.66015625,1.1415114237029303e-08
3588.8671875,1.1347622570886186e-08
3601.07421875,1.1460847745762006e-08
3613.28125,1.2304393471998585e-08
3625.48828125,1.244401919948781e-08
3637.6953125,1.286263247227152e-08
3649.90234375,1.3565723624791781e-08
3662.109375,1.3770319801125642e-08
3674.31640625,1.3670260893669256e-08
3686.5234375,1.4487590302410325e-08
3698.73046875,1.4432114111109646e-08
3710.9375,1.4807682948545305e-08
3723.14453125,1.525922033777432e-08
3735.3515625,1.5489308945847493e-08
3747.55859375,1.5958642839258928e-08
3759.765625,1.5784558901789415e-08
3771.97265625,1.6146604995155665e-08
3784.1796875,1.6605340395536627e-08
3796.38671875,1.6947941838030038e-08
3808.59375,1.7576225657366746e-08
3820.80078125,1.822649171820876e-08
3833.0078125,1.840712812036714e-08
3845.21484375,1.7854149487243365e-08
3857.421875,1.869655162561182e-08
3869.62890625,1.8949424225607695e-08
3881.8359375,1.9350555460533216e-08
3894.04296875,2.0339111630924382e-08
3906.25,2.0777778403051497e-08
3918.45703125,1.9265557679024504e-08
3930.6640625,1.881849312366275e-08
3942.87109375,1.9377274439830874e-08
3955.078125,1.9377069554823406e-08
3967.28515625,1.9900252028290633e-08
3979.4921875,2.0609877004322387e-08
3991.69921875,2.4837595466961373e-08
4003.90625,2.7589943229018402e-08
4016.11328125,2.25958644230659e-08
4028.3203125,2.119597262341814e-08
4040.52734375,2.0502153780792932e-08
4052.734375,1.989011403901738e-08
4064.94140625,2.0382572417617743e-08
4077.1484375,2.1931759227552453e-08
4089.35546875,2.156098431113514e-08
4101.5625,2.0945467574075988e-08
4113.76953125,2.0001689251676702e-08
4125.9765625,2.000966120150245e-08
4138.18359375,2.0660917991773122e-08
4150.390625,2.1013047154089153e-08
4162.59765625,2.050625176675969e-08
4174.8046875,2.0260169665693283e-08
4187.01171875,2.0371326859262596e-08
4199.21875,2.0118424282694812e-08
4211.42578125,2.0042832393586176e-08
4223.6328125,1.987386666044053e-08
4235.83984375,1.9285477308677696e-08
4248.046875,1.8669765095145635e-08
4260.25390625,1.9003331530072945e-08
4272.4609375,1.895337405755579e-08
4284.66796875,1.8613443272133767e-08
4296.875,1.835506141433278e-08
4309.08203125,1.8257075649886555e-08
4321.2890625,1.812857253086923e-08
4333.49609375,1.7697069145321342e-08
4345.703125,1.7199076116249093e-08
4357.91015625,1.6664197601424272e-08
4370.1171875,1.6881871823043648e-08
4382.32421875,1.7565465731097964e-08
4394.53125,1.7361621779832627e-08
4406.73828125,1.5944039384726232e-08
