,NPM,NAA,NLK,NLM,NAU
159,[8.075202431112722e-08],[0.001979921508126374],[3.600501170277856e-08],[5.184647992933239e-08],[0.5037680122977783]
160,[6.690220903026393e-08],[0.001979753088744392],[3.2061841085577e-08],[4.4323357537651335e-08],[0.305443601574718]
161,[7.748799101221484e-08],[0.0019797672536222177],[3.408144935211178e-08],[4.698706431094682e-08],[0.30910958858525317]
162,[7.895580719293287e-08],[0.0019798150102778877],[3.1723104160198136e-08],[4.799898578995758e-08],[0.3239423057575928]
163,[7.564797140390359e-08],[0.001980002514113831],[3.6343971081746526e-08],[4.8439860309734357e-08],[0.4266761117456179]
164,[8.470376397767745e-08],[0.001979936091713643],[3.80410110922742e-08],[5.33462780709609e-08],[0.5072898181402075]
165,[8.865952162342141e-08],[0.001979957142474716],[3.817937087845358e-08],[5.785265833360196e-08],[0.5248527892538137]
166,[8.075202431112722e-08],[0.001979921508126374],[3.600501170277856e-08],[5.184647992933239e-08],[0.5037680122977783]
167,[8.564896488224697e-08],[0.001979944160128469],[3.726925297181757e-08],[5.68567717155005e-08],[0.5052720287761931]
168,[8.695992668243886e-08],[0.0019798741981022243],[3.5453096086858223e-08],[5.4834961309349004e-08],[0.5841579716223704]
169,[7.32549912798858e-08],[0.0019800056223287124],[3.658701135117428e-08],[4.889793824830521e-08],[0.35856930351273647]
170,[8.077251984859063e-08],[0.0019800441709619337],[3.378190566970723e-08],[5.246743064576385e-08],[0.34147400160548097]
171,[7.262251948759432e-08],[0.001979783645441298],[3.253547123580691e-08],[5.076703625565614e-08],[0.3454218004346891]
172,[6.522857857353861e-08],[0.001979990076413459],[3.388251127072449e-08],[5.0196438417168215e-08],[0.3173291093636694]
173,[7.748799101221484e-08],[0.0019797672536222177],[3.408144935211178e-08],[4.698706431094682e-08],[0.30910958858525317]
174,[7.564797140390359e-08],[0.001980002514113831],[3.6343971081746526e-08],[4.8439860309734357e-08],[0.4266761117456179]
175,[8.865952162342141e-08],[0.001979957142474716],[3.817937087845358e-08],[5.785265833360196e-08],[0.5248527892538137]
176,[8.075202431112722e-08],[0.001979921508126374],[3.600501170277856e-08],[5.184647992933239e-08],[0.5037680122977783]
177,[8.564896488224697e-08],[0.001979944160128469],[3.726925297181757e-08],[5.68567717155005e-08],[0.5052720287761931]
178,[8.695992668243886e-08],[0.0019798741981022243],[3.5453096086858223e-08],[5.4834961309349004e-08],[0.5841579716223704]
179,[7.32549912798858e-08],[0.0019800056223287124],[3.658701135117428e-08],[4.889793824830521e-08],[0.35856930351273647]
180,[8.077251984859063e-08],[0.0019800441709619337],[3.378190566970723e-08],[5.246743064576385e-08],[0.34147400160548097]
181,[7.262251948759432e-08],[0.001979783645441298],[3.253547123580691e-08],[5.076703625565614e-08],[0.3454218004346891]
182,[6.522857857353861e-08],[0.001979990076413459],[3.388251127072449e-08],[5.0196438417168215e-08],[0.3173291093636694]
183,[7.958322746695592e-08],[0.001979981780928844],[3.6870260647449335e-08],[5.0071924798097156e-08],[0.356779919138908]
184,[8.076472175362392e-08],[0.001979859442230997],[3.428825383829513e-08],[5.3769041500970926e-08],[0.5517013169423259]
185,[8.519108827557954e-08],[0.001980029293513576],[3.851504831973777e-08],[5.466643372683368e-08],[0.5036286667934647]
186,[7.934897532794652e-08],[0.0019799574224987977],[3.8992985006571926e-08],[5.5076919839839945e-08],[0.4606343393097781]
187,[8.141278401617223e-08],[0.001979773663959051],[3.283950277284269e-08],[5.350296332733159e-08],[0.456666312773363]
188,[8.076472175362392e-08],[0.001979859442230997],[3.428825383829513e-08],[5.3769041500970926e-08],[0.5517013169423259]
189,[8.519108827557954e-08],[0.001980029293513576],[3.851504831973777e-08],[5.466643372683368e-08],[0.5036286667934647]
190,[7.934897532794652e-08],[0.0019799574224987977],[3.8992985006571926e-08],[5.5076919839839945e-08],[0.4606343393097781]
191,[8.141278401617223e-08],[0.001979773663959051],[3.283950277284269e-08],[5.350296332733159e-08],[0.456666312773363]
192,[8.004958806969243e-08],[0.001979885451217775],[3.4852947567787096e-08],[4.5699817937071177e-08],[0.3758798208618527]
193,[6.873566218575601e-08],[0.001979743915536934],[3.6861575613347313e-08],[4.902762748863649e-08],[0.3199965380032591]
194,[8.201868658463812e-08],[0.0019797973230551587],[3.848435810903768e-08],[5.1711390516102685e-08],[0.31716228713255135]
195,[7.0645149064611e-08],[0.001979949508669285],[3.4938400110723075e-08],[4.63378136240636e-08],[0.289235553291715]
196,[7.359389940287997e-08],[0.0019798682318011057],[3.361492298018951e-08],[4.2972674189238065e-08],[0.2631965728274847]
197,[7.213334717934569e-08],[0.0019798454757270776],[3.615343347619416e-08],[4.8483056602689296e-08],[0.31823300120720394]
198,[8.21916500420288e-08],[0.001979737594134217],[3.7295958427196235e-08],[5.4574826388444355e-08],[0.47818510038580503]
199,[8.076472175362392e-08],[0.001979859442230997],[3.428825383829513e-08],[5.3769041500970926e-08],[0.5517013169423259]
200,[8.519108827557954e-08],[0.001980029293513576],[3.851504831973777e-08],[5.466643372683368e-08],[0.5036286667934647]
201,[7.934897532794652e-08],[0.0019799574224987977],[3.8992985006571926e-08],[5.5076919839839945e-08],[0.4606343393097781]
202,[8.141278401617223e-08],[0.001979773663959051],[3.283950277284269e-08],[5.350296332733159e-08],[0.456666312773363]
203,[8.004958806969243e-08],[0.001979885451217775],[3.4852947567787096e-08],[4.5699817937071177e-08],[0.3758798208618527]
204,[6.873566218575601e-08],[0.001979743915536934],[3.6861575613347313e-08],[4.902762748863649e-08],[0.3199965380032591]
205,[8.201868658463812e-08],[0.0019797973230551587],[3.848435810903768e-08],[5.1711390516102685e-08],[0.31716228713255135]
206,[7.0645149064611e-08],[0.001979949508669285],[3.4938400110723075e-08],[4.63378136240636e-08],[0.289235553291715]
207,[7.359389940287997e-08],[0.0019798682318011057],[3.361492298018951e-08],[4.2972674189238065e-08],[0.2631965728274847]
208,[7.213334717934569e-08],[0.0019798454757270776],[3.615343347619416e-08],[4.8483056602689296e-08],[0.31823300120720394]
209,[8.21916500420288e-08],[0.001979737594134217],[3.7295958427196235e-08],[5.4574826388444355e-08],[0.47818510038580503]
210,[8.167355664571365e-08],[0.001979732665347471],[4.001760496140229e-08],[5.628446261624462e-08],[0.4802074886176026]
211,[8.05482820843456e-08],[0.001980024138819938],[3.5438111011545014e-08],[5.427961954497502e-08],[0.5306590300143109]
212,[8.895550516998105e-08],[0.0019798517998279703],[3.568717968983183e-08],[5.0595569050010007e-08],[0.5595400789394763]
213,[8.83863826307207e-08],[0.00197997195282972],[3.768872513694494e-08],[5.264588496227587e-08],[0.4304814149548176]
214,[8.167355664571365e-08],[0.001979732665347471],[4.001760496140229e-08],[5.628446261624462e-08],[0.4802074886176026]
215,[8.05482820843456e-08],[0.001980024138819938],[3.5438111011545014e-08],[5.427961954497502e-08],[0.5306590300143109]
216,[8.895550516998105e-08],[0.0019798517998279703],[3.568717968983183e-08],[5.0595569050010007e-08],[0.5595400789394763]
217,[8.83863826307207e-08],[0.00197997195282972],[3.768872513694494e-08],[5.264588496227587e-08],[0.4304814149548176]
218,[8.245287921957774e-08],[0.001980030312794548],[3.683439560562982e-08],[5.213838758003354e-08],[0.3592062451001761]
219,[7.709872529269666e-08],[0.0019800308948440593],[3.628293624828308e-08],[5.1553505396813724e-08],[0.30949943842417627]
220,[7.513574180954525e-08],[0.001979882938712875],[3.393409781227768e-08],[4.867029283411204e-08],[0.31638627789874846]
