time	NAA Phase	NAA Amp	NPM Phase	NPM Amp
193	102.3366	0.9308386	144.6767	-5.378718
194	101.5125	1.076431	143.9673	-4.904731
195	101.7154	0.9340356	145.0953	-5.148977
196	102.0199	1.027899	146.6245	-5.279592
197	101.8758	0.9952234	148.2916	-5.285271
198	102.425	1.07035	147.7545	-5.010044
199	101.3682	1.029923	144.4579	-5.030259
200	101.815	1.136881	148.8798	-5.114372
201	101.7599	0.9291467	146.1142	-4.632058
202	102.2998	0.9672131	144.5513	-4.761587
203	101.4654	0.9851928	146.4117	-5.007659
204	102.0003	0.9231494	140.9981	-4.512349
205	102.6973	0.8916186	144.8453	-4.831982
206	101.2245	0.5825635	143.7792	-4.469502
207	102.207	0.9791711	143.6541	-4.694685
208	101.6	0.9401611	141.6304	-4.83791
209	101.6313	0.7448315	143.1167	-4.68614
210	101.9746	0.7343201	144.074	-4.560884
211	101.9858	0.773551	143.1711	-5.315498
212	101.7648	0.816488	144.5948	-4.845212
213	100.7046	0.9294922	142.7397	-5.260642
214	101.0726	0.8476221	144.0063	-4.814775
215	100.1177	0.7174109	143.3842	-4.870762
216	101.299	0.6306079	143.6427	-4.700698
217	101.2507	0.690343	141.5525	-4.757551
218	102.0239	0.7584546	143.4962	-4.971797
219	100.8893	0.8376575	143.2533	-4.964961
220	101.3785	0.830896	146.5381	-4.433718
221	100.8234	1.00585	144.207	-4.48508
222	100.706	0.7337866	143.0328	-4.828845
223	101.7882	0.8288672	143.9476	-5.117329
224	101.661	0.7127441	142.5921	-4.479468
225	101.052	0.7888403	139.5198	-4.890786
226	102.3063	0.7630945	141.2305	-5.070564
227	101.1037	0.7612549	137.8423	-4.829817
228	101.9105	0.8379931	138.8094	-4.634526
229	99.60031	0.816676	138.522	-4.860996
230	100.6313	0.8109814	138.7215	-5.444516
231	100.5139	0.8190466	138.8331	-4.922449
232	100.9186	0.9287768	138.2791	-4.503328
233	101.3785	0.6729712	139.8229	-4.566597
234	100.8379	0.8035254	139.7758	-4.88375
235	100.7519	0.8337646	138.2539	-4.580586
236	99.60929	0.8714172	141.1788	-4.457368
237	99.94383	0.7265954	138.9498	-4.414946
238	99.8822	0.873634	139.7215	-4.309988
239	100.3566	0.7480371	141.0435	-4.786811
240	99.99617	0.7207617	137.733	-4.140862
241	101.0971	0.7292309	138.2359	-4.847351
242	100.719	0.8190869	138.7804	-4.522234
243	99.81976	0.7679687	139.8391	-4.823955
244	100.6232	0.6877258	138.9525	-4.516208
245	100.2744	0.7040893	138.308	-4.455818
246	99.7523	0.6904687	137.0058	-4.770952
247	100.1156	0.8644507	142.1501	-4.412434
248	100.6699	0.5044104	139.2464	-4.180205
249	99.63161	0.737727	139.5155	-4.548186
250	99.90999	0.681123	140.0537	-4.640571
251	100.8321	0.6065344	138.9247	-4.578066
252	100.1461	0.7988013	141.5556	-4.611582
253	100.3853	0.8221618	139.0956	-4.442419
254	100.8287	0.7550513	142.1501	-4.787251
255	99.93542	0.6772217	141.4776	-4.588684
256	100.8705	0.7671521	136.7133	-5.057529
257	99.96639	0.7053259	138.9788	-4.394404
258	100.0623	0.4914343	134.3793	-4.46416
259	99.52938	0.7071472	136.4047	-4.304624
260	100.4903	0.8447937	139.6112	-4.320791
261	100.1899	0.8078833	138.6479	-4.414392
262	99.93596	0.7234143	139.1473	-4.564319
263	99.87728	0.6951306	141.5304	-4.928015
264	100.4985	0.6491772	135.913	-4.569927
265	99.03263	0.9136511	139.9676	-4.623769
266	99.63551	0.6856604	137.5792	-4.462021
267	99.66648	0.6405347	138.2989	-4.49562
268	98.21695	0.6869775	138.5292	-4.594397
269	99.47561	0.5702698	137.0819	-4.510683
270	98.53568	0.6832031	134.1292	-4.439079
271	99.7069	0.6568811	137.6323	-4.55936
272	100.0761	0.7196118	137.2054	-4.767593
273	99.92064	0.8844372	137.9045	-4.818389
274	99.73175	0.7484863	138.0047	-4.853113
275	98.25029	0.8774463	134.9609	-4.343437
276	100.1279	0.6989526	137.8555	-4.589409
277	99.48808	0.7378406	137.312	-4.351555
278	99.47406	0.7385486	134.903	-4.533337
279	99.3982	0.6381946	138.5178	-4.103662
280	99.47077	0.7942578	138.5126	-4.249277
281	99.19646	0.9601526	136.9014	-4.498894
282	99.36789	0.8483313	134.0785	-4.379792
283	98.52469	0.8268481	135.7614	-4.224729
284	99.02245	0.7453674	135.3086	-4.356694
285	98.85281	0.7074536	136.2917	-4.622204
286	99.23841	0.8557837	136.0281	-4.75332
287	99.65015	0.6782178	138.5568	-4.643374
288	99.82547	0.7045325	136.5777	-4.514394
289	97.99076	0.6944726	135.2449	-4.435503
290	98.01634	0.8189526	135.8835	-4.706037
291	98.86271	0.804845	133.7003	-4.664785
292	99.34622	0.6867627	136.9316	-4.649805
293	97.69388	0.5428747	133.211	-4.642532
294	99.36197	0.7619507	134.5333	-4.705342
295	97.58774	0.807091	134.9512	-4.436592
296	98.7474	0.7510974	132.9093	-4.498008
297	97.51419	0.8179565	132.5596	-4.199946
298	98.61907	0.9103723	133.2792	-4.878945
299	98.76523	0.7763293	134.4268	-4.582041
300	97.26098	0.7679089	133.7377	-4.476377
301	98.22803	0.6166675	136.018	-4.626496
302	98.262	0.7724805	133.3032	-4.352944
303	98.56463	0.7333472	134.575	-4.541743
304	97.92299	0.6908874	132.8917	-4.758772
305	98.96463	0.6198669	136.9027	-4.688533
306	98.05324	0.7373413	134.1944	-4.118288
307	98.77843	0.5692993	130.2891	-4.08085
308	98.16594	0.6542554	132.2378	-4.499375
309	98.15645	0.784458	132.0793	-4.897021
310	98.26735	0.7602148	135.0501	-4.556079
311	97.7021	0.7567248	133.7365	-4.732454
312	98.35915	0.650133	134.278	-4.613205
