time	NAA Phase	NAA Amp	NPM Phase	NPM Amp
178	24.73372	24.01396	-49.1034	29.99701
179	23.7694	24.38332	-49.76287	29.94686
180	21.62926	24.78944	-48.61393	30.04336
181	22.66434	24.49329	-50.01362	30.07588
182	23.8403	24.19626	-50.36663	29.93012
183	24.21794	24.28824	-49.63923	30.03638
184	24.48076	24.41338	-50.57381	29.9855
185	24.0134	24.46361	-49.48523	29.90316
186	24.15246	24.62561	-49.78319	30.10006
187	23.07735	24.24201	-50.3377	29.99941
188	21.94842	24.24866	-50.71691	30.02327
189	23.77479	24.15707	-50.68972	29.94377
190	22.64998	24.44124	-50.30634	29.97397
191	23.95423	24.62182	-48.51393	30.24754
192	22.16672	24.3119	-50.53292	30.17659
193	23.87929	24.23092	-50.29452	29.99444
194	23.18856	24.4824	-50.27085	29.91287
195	24.69863	24.63211	-50.80498	30.05495
196	23.50054	24.3027	-50.94921	30.06951
197	22.55352	24.25836	-50.36967	30.00889
198	23.43243	24.44973	-49.95846	30.21738
199	23.97278	24.43892	-50.49629	30.11336
200	24.37717	24.20515	-50.71725	30.02921
201	24.4615	24.34632	-50.01143	30.16231
202	22.95874	24.20948	-49.77386	30.23076
203	23.24585	24.39879	-50.04626	30.23273
204	24.50429	24.41998	-50.64175	30.2368
205	23.1584	24.14316	-51.24965	30.12114
206	22.41385	24.0902	-51.10233	30.10342
207	23.28458	24.4667	-51.70027	30.20487
208	21.12925	25.22721	-51.97717	30.27115
209	23.86869	24.6831	-51.06872	30.54838
210	25.48728	24.90074	-50.9162	30.34861
211	24.03242	24.48849	-50.23383	30.40097
212	23.4109	24.74854	-52.10074	30.60926
213	25.3649	24.71736	-51.4201	30.33299
214	24.62289	24.37296	-51.47147	30.36812
215	24.23469	24.58886	-51.84311	30.28812
216	23.66347	24.46679	-51.40764	30.41291
217	26.02688	24.49753	-51.14289	30.3579
218	25.21531	24.38618	-51.66666	30.21822
219	23.79816	24.61153	-52.69109	30.26041
220	26.52843	24.30694	-53.05603	30.3761
221	24.37241	24.59928	-51.65431	30.34697
222	24.94256	24.44569	-52.1993	30.25747
223	23.57421	24.57965	-52.12132	30.37975
224	23.66157	24.77744	-51.32099	30.48736
225	21.2456	24.37261	-51.93833	30.06737
226	25.10133	24.97969	-54.02144	30.98717
227	24.66238	24.61551	-50.62152	30.42828
228	23.11455	24.61656	-51.38417	30.33194
229	23.7837	24.4454	-51.98435	30.36616
230	23.98041	24.68485	-52.59522	30.3742
231	25.0981	24.49913	-52.629	30.3479
232	25.7317	24.50561	-52.37607	30.34457
233	24.42884	24.435	-52.26599	30.30035
234	25.30855	25.17372	-49.98666	30.17698
235	25.36778	24.54222	-52.43047	30.2742
236	23.76957	24.60883	-53.38362	30.40254
237	23.80105	24.33653	-52.21092	30.25093
238	24.15947	24.32151	-52.54775	30.42816
239	23.68062	24.58201	-52.78597	30.43354
240	24.70113	24.55605	-52.40815	30.43859
241	24.20181	24.64368	-52.66147	30.45997
242	22.40758	25.39487	-52.96638	30.39
243	22.84554	24.74592	-52.91292	30.50069
244	20.66186	24.43228	-52.49289	30.42106
245	24.39257	24.67954	-53.35488	30.42092
246	22.66103	24.83759	-52.90276	30.44596
247	23.04842	24.79911	-53.1142	30.43367
248	23.28645	24.67788	-52.83942	30.57178
249	23.13175	24.69096	-52.97961	30.45652
250	23.28148	24.80741	-52.97457	30.46274
251	22.95274	24.60834	-52.51566	30.50105
252	20.80097	25.64886	-52.34531	30.39024
253	24.90404	25.59187	-53.62605	30.37005
254	22.36597	24.64804	-53.54237	30.37154
255	24.03635	24.87636	-53.19382	30.43094
256	21.72573	25.15383	-53.14542	30.41299
257	25.9465	24.76084	-52.70217	30.52032
258	21.33151	24.80431	-52.99044	30.54104
259	21.5966	24.81491	-53.79183	30.44308
260	23.41237	25.28006	-54.09283	30.45276
261	24.26498	24.93957	-53.25387	30.46845
262	23.90619	24.88653	-53.10331	30.54634
263	21.37661	24.95134	-53.57285	30.68939
264	23.69071	24.96833	-53.92895	30.63265
265	23.36729	25.19121	-52.89431	30.55863
266	23.26441	24.75456	-54.02663	30.68935
267	22.07656	24.74855	-52.88375	30.63282
268	23.31984	24.92023	-53.57622	30.61473
269	22.3953	24.70309	-53.77204	30.69935
270	23.23568	24.97497	-53.45284	30.66103
271	23.34801	25.06853	-53.3085	30.59522
272	22.98365	25.0585	-54.15251	30.65862
273	24.34963	24.90836	-53.59066	30.59535
274	23.15704	24.85025	-54.47862	30.59268
275	22.89736	24.82038	-54.63137	30.42841
276	22.99923	24.87528	-53.82184	30.49637
277	24.77803	24.90793	-55.00092	30.6744
278	23.53391	24.93626	-55.08285	30.55076
279	22.22203	24.955	-54.68395	30.61193
280	24.06403	25.03486	-53.29803	30.48388
281	24.75625	24.70033	-53.55332	30.42683
282	24.1508	24.77814	-54.4999	30.6292
283	23.55085	24.78541	-53.7075	30.56265
284	23.32122	24.64614	-53.35875	30.5206
285	26.69033	26.044	-54.03614	31.73711
286	23.89572	24.87814	-52.66811	30.6246
287	22.78703	24.91286	-54.18459	30.60589
288	22.57539	24.97524	-54.13762	30.6722
289	20.89354	25.0647	-53.87742	30.69844
290	22.62156	24.95542	-55.30903	30.55869
291	22.98618	24.97147	-54.37954	30.59567
292	21.78973	24.83741	-54.04485	30.645
293	22.42021	24.51465	-54.06212	30.54794
294	21.45405	24.89357	-54.56675	30.55507
295	21.79497	25.07542	-53.53668	30.80233
296	22.00665	24.94753	-53.70697	30.5918
297	20.60547	24.91986	-54.07913	30.60112
298	22.07523	24.65355	-53.89247	30.73645
299	20.61084	24.81818	-54.36806	30.62704
300	20.93215	24.91959	-54.78951	30.72314
301	20.79595	25.00824	-54.25348	30.83137
