time	NAA-L Phase	NAA-L Amp	NPM-L Phase	NPM-L Amp
323	63.98736	24.1481	89.92269	30.45713
324	66.1431	24.36898	89.75606	30.9392
325	64.28086	24.15333	89.29527	30.89202
326	62.3204	23.92984	89.09101	30.74817
327	63.74935	24.19421	88.96322	30.69489
328	62.67293	23.87857	88.75218	30.68195
329	63.65171	23.98955	89.85648	30.70409
330	63.47449	24.21191	89.58186	30.77089
331	64.40852	24.08926	89.35162	30.68374
332	62.42747	24.07405	88.7941	30.69768
333	63.99617	24.25848	89.28947	30.61931
334	62.83932	24.20564	89.21707	30.8617
335	64.75221	24.31544	88.72266	30.88746
336	63.52635	24.31554	87.1359	30.60062
337	63.47889	24.41937	89.27136	30.79522
338	64.11418	23.99264	89.76348	30.74969
339	64.95109	24.18756	90.03274	30.85999
340	63.17854	24.29576	88.96545	30.8128
341	62.63821	23.9935	89.23203	30.82925
342	61.83614	24.17226	89.17459	30.8363
343	63.90023	24.1544	89.53227	30.81369
344	66.54262	24.2685	88.94685	30.73253
345	64.41943	24.50813	90.79166	31.11376
346	63.17497	24.08005	90.6178	30.76653
347	64.975	24.12959	89.64449	30.77745
348	64.5003	24.22727	89.12216	30.83756
349	63.15182	24.19505	89.626	30.96724
350	64.61309	23.89763	88.90449	30.86152
351	62.50098	23.84312	90.07515	30.94227
352	62.51059	24.01042	89.47628	30.89637
353	64.77387	24.14895	89.03651	31.01499
354	65.41642	23.62722	90.13287	30.8605
355	62.83458	23.9984	88.54851	30.81478
356	63.28203	24.13701	88.73354	30.85518
357	63.94584	24.0723	89.19547	30.91375
358	62.33031	24.10509	88.92973	31.00582
359	64.10585	23.94827	88.35557	30.93143
360	60.12113	24.15922	89.89192	31.00614
361	60.95128	24.04325	88.67546	30.92796
362	62.53972	24.21949	89.56933	31.04437
363	62.99631	24.14541	88.0985	30.75856
364	64.43024	24.14452	88.13195	30.90843
365	63.69908	24.09771	88.56658	31.10505
366	63.14374	24.23233	88.80353	31.04622
367	62.41305	24.0782	87.65575	30.96932
368	62.31132	24.07352	87.69197	30.99747
369	62.81862	24.05689	88.40011	30.7991
370	63.90008	23.93796	87.96252	30.90824
371	62.06273	24.16413	88.42378	31.00294
372	63.95414	24.12086	87.05432	30.99715
373	64.51571	24.24207	87.7712	31.09954
374	62.47678	24.36466	88.27473	31.20041
375	60.79632	24.54841	88.43645	30.96661
